Institution Name,Target Child,Entry Criteria (2027),Scholarship/Grant Potential,Intelligence / 'Shortcuts' to Entry,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status,company_name_scraped,phone_scraped,linkedin_company_url,score
DIFC (Dublin International Foundation College),Daughter (Med),O-Level (5+ subjects) with Bio/Chem. IELTS 5.0-6.0.,Merit awards €2k - €4k based on O-Level results.,Principal Intel: Mention PBF and GSD affiliation to admissions. They prioritize families in trade hubs.,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Turkiye Burslari (Government of Turkey),Daughter (Med),90% minimum in O-Levels/Equiv. for Medicine. Under age 21.,"100% Full Ride (Tuition, Stipend, Housing, Health).","The Shortcut: Apply for less-crowded cities first, then transfer. Focus heavily on the 'Statement of Purpose'.",,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
CEU San Pablo University (Madrid),Daughter (Med),O-Level pass. Internal Entrance Exam + Interview.,Excellence Grants (up to 50% tuition reduction).,The Shortcut: Apply for 'Pre-Health' first then switch to Med. Mention the GSD connection to bridge the gap.,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
UCAM (Universidad Católica de Murcia),Daughter (Med),O-Level pass. Strong Science grades. Language test.,Academic & Sport Grants available (20-40%).,Principal Intel: Use the 'Spain-Pakistan Business Node' leverage. They look for international profile diversity.,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
NCUK (Global Medical Pathway),Daughter (Med),O-Level pass. Bio and Chem at Grade B or higher.,Progression awards £1k - £5k for top foundation students.,"The Shortcut: Study IFY locally in PK to save 1 year of cost, then use the $20k for the 1st year of MBBS.",,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Stipendium Hungaricum (Hungary),Daughter (Med),High O-Level GPA. Recommendation letters. Entrance exam.,Full Tuition + Monthly Stipend + Accommodation.,The Shortcut: Apply via the 'Sending Partner' (Ministry of Ed). Use your PBF status to get a recommendation.,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
RCSI (Royal College of Surgeons in Ireland),Daughter (Med),Requires Foundation completion (DIFC) or 3 A-Levels (AAA).,Partial Alumni/Partner grants (rare for internationals).,The Intel: This is the 'Gold Standard'. Use DIFC as the backdoor. It's easier than direct A-Level entry.,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
King’s College (The British School of Madrid),Daughter (A-Level) / Son (Yr 8),O-Level (5-8 A*s for scholarship). CAT4 Testing.,Academic Sixth Form Scholarships (up to 50%).,The Shortcut: Apply early (Late 2026). Mention your residency intent in Spain to avoid 'Foreigner' extra fees.,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Benjamin Franklin International School (BCN),Son (Year 8),Academic records + English Proficiency + Interview.,Needs-aware Financial Aid (requires full disclosure).,Principal Intel: Focus on his 'Math' or 'Tech' skills. Use the 'Principal' profile to negotiate sibling rates.,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
American School of Madrid (ASM),Son (Year 8),High test scores (MAP/SSAT) + Teacher recommendations.,Merit & Leadership Grants (discretionary).,The Shortcut: Networking. Attend their 'Open Day' virtually. Use a reference from a current Madrid executive.,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Lester B. Pearson Scholarship (U of Toronto),Daughter (Med Path),Exceptional O-Level/A-Level grades + School nomination.,"Full 4-year coverage (Tuition, Books, Residence).",The Intel: Requires 'School Nomination'. Contact her school principal now to ensure she is the #1 choice.,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
University of Adelaide (College Foundation),Daughter (Med),O-Level (4-5 subjects) at B average or higher.,Global Citizen Scholarship (15-25% automatic for high GPA).,The Shortcut: The 1-year foundation is the 'Guarantee' into MBBS. Much easier than the US 8-year route.,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
