Region,Institution,Target Child,Criteria & Requirements,Scholarship/Intell Ways,Contact (Email/Phone),Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status,company_name_scraped,phone_scraped,linkedin_company_url,score
Ireland,DIFC / RCSI (Dublin),Daughter (Med),"O-Levels (5 subjects), Bio/Chem A/B. IELTS 6.0.",Short-cut: IFY foundation is 1yr vs 2yr A-Levels. Mention PBF/GSD to Director.,admissions@difc.ie / +353 1 478 0888,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Turkey,Turkiye Burslari,Daughter (Med),90% O-Level Average. Under 21. Strong Bio/Chem.,Intel: Govt-to-Govt. Use PBF letterhead for the 'Statement of Purpose'.,info@turkiyeburslari.gov.tr / 0850 455 0 982,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Hungary,Stipendium Hungaricum,Daughter (Med),High GPA. Entrance Exam (Bio/Chem). Interview.,Short-cut: Apply through HEC Pakistan portal. Top 10% get 100% funding.,stipendiumhungaricum@tpf.hu / +36 1 236 5040,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Spain,CEU San Pablo (Madrid),Daughter (Med),O-Level + Internal Entrance Exam. English Proficiency.,Intel: Use 'Spain-Pakistan Business Node' status to get Excellence Grant.,international.office@ceu.es / +34 91 514 04 00,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Spain,King's College (Madrid),Son (Yr 8),O-Level transcripts + CAT4 Assessment + Interview.,Short-cut: Negotiate 'Sibling Discount' using PBF/GSD Institutional status.,admissions.madrid@kingscollege.es / +34 91 658 76 00,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Germany,Berlin International,Son (Yr 8),English Proficiency + School Records + Interview.,Intel: Connect via Hertie School (Cornelia Woll) for faculty referral.,admissions@berlin-international.de / +49 30 810 58 080,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Cyprus,European Uni Cyprus,Daughter (Med),O-Level (5 subjects) + English Proficiency.,Short-cut: 50% discount for $A*$ students. Easiest EU Med Entry.,admissions@euc.ac.cy / +357 2271 3000,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Australia,Monash University,Daughter (Med),O-Level (Min 5 subjects) + Science focus.,Intel: 25% automatic 'Global Citizen' grant for high GPA.,study@monash.edu / +61 3 9903 4788,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
UK,NCUK Medicine,Daughter (Med),5 O-Levels (Grades A-C). Bio/Chem mandatory.,"Short-cut: Study IFY locally to save $15k, then transfer for MBBS.",cas@ncuk.ac.uk / +44 161 519 0950,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
UK,Bellerbys College,Daughter (A-Levels),O-Levels (Grades A-B) for Foundation/A-Level.,Intel: High-prestige boarding. Use GSD reference for 'Elite' entry.,admissions@bellerbys.com / +44 1273 339 300,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Canada,U of Toronto (Pearson),Daughter (Med),Top 1% of class + School Nomination + Leadership.,Short-cut: Must be nominated by High School. Start nomination in 2026.,pearson.scholarship@utoronto.ca / +1 416 978 2190,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
USA,Amherst College,Daughter (Med),SAT/ACT scores (Optional) + 95% GPA + Need-based profile.,"Intel: 100% Need-Blind aid. If accepted, they pay for EVERYTHING.",admission@amherst.edu / +1 413 542 2328,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Poland,Medical Uni of Warsaw,Daughter (Med),O-Level + Science Foundation. 6-year English MD.,Short-cut: Affordable tuition. Use Poland-Node (Port of Gdansk) contact.,prospective@wum.edu.pl / +48 22 57 20 913,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Czechia,Charles University,Daughter (Med),High O-Level GPA + Entrance Exam (Hardest in EU).,Intel: The 'Oxford of the East'. Foundation is mandatory for O-Levels.,admission@cuni.cz / +420 224 491 111,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
