Industry,Category,Subcategory,Prompt,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
Apparel,Mens Wear,Shirts,"Ultra realistic product photography of men's formal shirts, neatly folded stack, clean minimal background, soft studio lighting, sharp focus, premium fashion catalog style, high detail fabric texture, no text, no watermark",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Mens Wear,Suits,"Ultra realistic product shot of men's suits on hangers, clean studio background, soft lighting, luxury fashion catalog style, sharp focus, no text",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Mens Wear,T-Shirts,"Ultra realistic product shot of men's t-shirts folded stack, minimal background, soft shadows, high detail cotton texture, e-commerce style, no text",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Ladies Wear,Dresses,"Ultra realistic product photography of elegant women's dresses on hanger, soft studio lighting, minimal clean background, luxury fashion catalog style, no text",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Ladies Wear,Tops,"Ultra realistic product shot of women's tops folded neatly, clean background, soft lighting, premium e-commerce style, high detail fabric",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Ladies Wear,Abaya,"Ultra realistic product shot of luxury abaya on hanger, minimal background, soft shadows, premium modest fashion style, no text",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Kids Wear,Clothing,"Ultra realistic product photography of kids clothing folded stack, colorful garments, clean white background, soft lighting, e-commerce style, no text",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Sportswear,Activewear,"Ultra realistic product shot of sportswear set, performance fabric visible, clean minimal background, soft studio lighting, modern athletic brand style",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Textiles,Denim,Jeans,"Ultra realistic product photography of premium denim jeans, neatly folded stack, rich indigo color, detailed stitching and texture, soft studio lighting, clean minimal background, no text",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Textiles,Cotton,Fabric,"Ultra realistic product shot of cotton fabric rolls, clean minimal background, soft lighting, high detail texture, textile catalog style",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Accessories,Bags,Handbags,"Ultra realistic product photography of handbags, clean minimal background, soft lighting, premium fashion catalog style, sharp focus",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Accessories,Shoes,Footwear,"Ultra realistic product shot of shoes pair, clean minimal background, soft studio lighting, sharp focus, premium footwear catalog style",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
FMCG,Food,Grains,"Ultra realistic product photography of grains in bowls and sacks, clean minimal background, soft lighting, natural tones, no text",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
FMCG,Food,Spices,"Ultra realistic product shot of spices in small bowls, vibrant colors, clean background, soft lighting, high detail",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
FMCG,Personal Care,Skincare,"Ultra realistic product photography of skincare bottles, minimal luxury background, soft lighting, high-end cosmetic style",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Home Care,Cleaning,Detergents,"Ultra realistic product shot of detergent bottles, clean background, soft lighting, retail packaging style",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
