Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Soft Skills for Sales Professionals (2018),"As a sales professional, you probably know your product inside and out. But success in sales requires more than just technical know-how. Soft skills—those tough-to-define relational skills that help you earn your customer's trust—are equally essential to your bottom line. In this course, business strategist and instructor Meridith Elliott Powell covers soft skills in depth, sharing strategies that can help you bolster your emotional intelligence and communicate more effectively with prospects. Meridith begins by explaining why soft skills are crucial to sales success. She then dives into some of the most essential soft sales skills, including building connections, listening, and selling with greater emotional intelligence. Throughout the course, Meridith also uses real-world scenarios that help illustrate soft skills in action.",Course,2019-02-18 04:59 UTC,N/A,false,N/A,
Jodi Glickman on Pitching Yourself (2018),"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2018-12-24 13:11 UTC,N/A,false,N/A,
Delivering an Authentic Elevator Pitch,"Find out how to craft an authentic personal pitch while projecting competence and warmth—two key factors in making a great first impression. Instructor Tatiana Kolovou shares how building trust with people and making a positive first impression isn’t a matter of magic. Tatiana reveals how verbal and nonverbal behaviors can influence the way people react in an initial meeting, whether in person, over the phone, or online.",Course,2020-11-05 03:02 UTC,N/A,false,N/A,
Learning LinkedIn Sales Navigator,"Find more leads and build out your social sales strategy with the power of LinkedIn Sales Navigator. LinkedIn is a natural platform for social selling, and with Sales Navigator you can increase your opportunity for successful connections. In this course, Thomas Creighton de Farias shows you how to find new leads, review updates and lead suggestions, view member profiles and company accounts, and use shared connections to make an introduction. He also shows how you can use InMail to increase your sales success with targeted messaging, and prospect on the go with the Sales Navigator mobile app.",Course,2024-05-28 10:40 UTC,N/A,false,N/A,
Organization Design,"In order to attract top talent and execute strategies effectively, it's imperative that you make your company a vibrant, engaging place to work. By gaining a solid foundation in organization design, you can learn how to build a high-performing organization that thrives in a complex business environment. In this course, Amy Kates shares a practical approach to organization design, providing you with a complete overview of the core models, methods, and tools used by organization design practitioners. She shows how to create alignment between components of an organization, select structure and integration options, match talent to an organization, and manage the organization design process.",Course,2019-08-15 17:46 UTC,N/A,false,N/A,
Artificial Intelligence Foundations: Machine Learning,"<p>Machine learning is the most exciting branch of artificial intelligence. It allows systems to learn from data by identifying patterns and making decisions with little to no human intervention. In this course, you'll navigate the machine learning lifecycle by getting hands-on practice training your first machine learning model. Join instructor Kesha Williams as she explores widely adopted machine learning methods: supervised, unsupervised, and reinforcement. There's a focus on sourcing and preparing data and selecting the best learning algorithm for your project. After training a model, learn to evaluate model performance using standard metrics. Finally, Kesha shows you how to streamline the process by building a machine learning pipeline. If you’re looking to understand the machine learning lifecycle and the steps required to build systems, check out this course. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/machine-learning-statistical-foundations-professional-certificate-by-wolfram-research"" target=""_blank"">Professional Certificate</a> from Wolfram Research.</p>",Course,2026-03-14 22:09 UTC,N/A,false,N/A,
Running a Profitable Business: Revenue Recognition,"Revenue recognition determines when a sale should be recorded: This month or next month? This year or next year? This seems like an easy question until you consider situations in which a company sells a package of goods and services for one joint price, aka multi-element transactions.<br><br>

But without recognizing revenue, a company can't hope to report any profit. Accordingly, company management is typically under great pressure to recognize revenue as soon as possible. Want to understand these concepts better? Join professors Jim and Kay Stice as they introduce the theory, practice, and implications of revenue recognition. Together they demonstrate how this seemingly innocent accounting topic can turn a reported profit into a reported loss, sometimes with multibillion dollar implications for company values.",Course,2019-12-30 20:30 UTC,N/A,false,N/A,
Negotiation Foundations,"<p>When it comes to negotiation, shifting your mindset from ""a battle to be won"" to ""a problem-solving conversation"" can improve your results dramatically. In this course, leadership coach, negotiation expert, and author Lisa Gates demonstrates the core skills of interest-based negotiation to get win-win outcomes every time. Learn a step-by-step strategy for negotiating everyday workplace issues, from asking for a raise or promotion to pitching ideas and resolving conflict. Lisa covers techniques such as diagnostic questions, anchoring, framing, and labeling, which help you navigate impasse and generate satisfaction on both sides of the bargaining table. Along the way, discover how to prepare for a negotiation, cultivate your influence, get into a zone of agreement even when you have to say ""no,"" and negotiate remotely over phone or email. Lisa also shares her best negotiation tips and tricks and provides worksheets to practice your skills. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/negotiation-professional-certificate-by-american-negotiation-institute"" target=""_blank"">Professional Certificate</a> from American Negotiation Institute.</p>",Course,2026-02-25 14:48 UTC,N/A,false,N/A,
The Top 10 Project Management Mistakes—and How to Avoid Them,"Approach project management from a new perspective: by exploring what not to do. Using real-world examples, real-world-experienced instructor Chris Croft introduces the 10 most common mistakes project managers make and explains how to avoid them. The course delivers practical advice on how to make an effective Gantt chart, reschedule tasks without affecting project timing, and communicate with bosses and clients. Plus, explore the Association for Project Management (APM) and 12-step methodologies and important project management qualifications.",Course,2019-03-10 17:38 UTC,N/A,false,N/A,
Giving Your Elevator Pitch,"It's important to make a good impression in just the first few minutes you spend with potential mentors, clients, or even friends. In this short course, author and business coach Dr. Todd Dewett explains how to tell others what you do and make a memorable impression in a short period of time with a personal ""elevator pitch."" Maximize your connection in a minimal amount of time, and start making valuable additions to your network from the get-go.",Course,2019-02-17 15:25 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-10-15 16:32 UTC,N/A,false,N/A,
