Region Cluster,Country,Priority,Company,Website,City / Base,Business Type,Product Fit,Public Contact Name,Target Decision-Maker / Title,Public Contact Details,Why Relevant,Recommended Outreach Angle,Short Personalized First-Contact Angle,Verification Notes,Source URL 1,Source URL 2,Email,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
Scandinavia,Sweden,High,Saigon Food AB,https://www.saigon.se/,Angered / Göteborg,Importer / Distributor / Wholesale,Asian & ethnic food; scalable Scandinavian distribution,Public contact not named on source page,Inköpschef / Inköpare / Importansvarig,info@saigon.se | +46 31-337 84 00,One of Sweden’s leading importers of food from Southeast Asia; distributes across Scandinavia from Angered central warehouse.,Distribution partnership / product placement / HoReCa supply,We would like to explore supplying halal ethnic FMCG lines suited to your Scandinavian import and wholesale portfolio.,Verified operating company with direct website and contact details.,https://www.saigon.se/,https://www.saigon.se/,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Scandinavia,Sweden,High,Lazzat Foods AB,https://lazzatfoods.se/,Sweden (Scandinavia-wide reach),Importer / Distributor,"Indian rice, lentils, beans, spices, ethnic staples",Public contact not identified in source excerpt,Inköpschef / Strategisk inköpare / Kategoriansvarig,Website contact form,"Leading distributor of Indian rice, lentils, beans, Indian food and spices in Sweden; distributes across Scandinavia.",Distribution partnership / retail expansion,Harvics can support ethnic-food sourcing programs with reliable supply and private-label options.,Verified company site; no named buyer found in public snippet.,https://lazzatfoods.se/,https://lazzatfoods.se/en/info/about-us/,,,,,False,True,False,1,0,1,skip,Lazzat Foods - Lazzatfoods.se,,08-363640,,,,partial
Scandinavia,Sweden,High,Ethnic Foods AB,https://www.ethnicfoods.se/,Sweden,Wholesaler / Distributor,Broad global/ethnic food assortment,Ahmad Najdi,Inköpare / Kommersiell chef,ahmad.najdi@ethnicfoods.se | +46 737 060 708,Global food wholesaler offering broad assortment and direct public contact; strong fit for ethnic FMCG outreach.,Distribution partnership / institutional supply,Your portfolio appears relevant for halal and ethnic FMCG sourcing discussions with broad product breadth.,Direct public contact published; buyer title not public.,https://www.ethnicfoods.se/,https://www.ethnicfoods.se/,,,,,False,True,False,1,0,1,skip,Ethnic Foods AB – Grossistförsäljning av livsmedel,,031 193 478,,,,partial
Scandinavia,Sweden,Medium,Thai Fong,https://thaifong.se/,Sweden,Wholesaler,Asian cuisine specialist wholesaler,Public contact not identified on source page,Inköpschef / Kategorichef,Website contact form,One of Sweden’s largest food wholesalers specialized in the Asian kitchen.,Distribution partnership / product placement,We can propose selected halal ethnic lines aligned with Asian and world-food demand in Sweden.,Verified company site; no named buyer publicly surfaced.,https://thaifong.se/,https://thaifong.se/,,,,,False,True,False,1,0,1,skip,Thai Fong – Handplockade  råvaror från Asiens främsta producenter,,,,,,partial
Scandinavia,Sweden,Medium,Nordic Culinary AB,https://nordicculinary.se/,Stockholm,Wholesaler / HoReCa supplier,"Fresh, frozen, dry goods; ethnic restaurant supply",Public contact not named in excerpt,Inköpschef / Supply Chain Manager,Website contact form,"Wholesale partner serving restaurants, catering firms, food stores and ethnic restaurants in Sweden.",HoReCa supply / institutional supply,Harvics can offer halal ethnic staples and frozen lines suitable for ethnic restaurants and catering buyers.,Verified direct website; role targeting inferred from business model.,https://nordicculinary.se/,https://nordicculinary.se/,,,,,False,True,False,1,0,1,skip,Nordic Culinary AB - Din pålitliga partner för kvalitetslivsmedel,"Upptäck högkvalitativa livsmedelsingredienser från Nordic Culinary AB. Fräsch, pålitlig och effektiv service för restauranger och livsmedelsbutiker.",,,,,partial
Central Europe,Poland,High,Kuchnie Świata S.A.,https://www.kuchnieswiata.com.pl/en,Poland,Importer / Distributor / HoReCa supplier,"World foods, seafood, frozen products, 5,000+ HoReCa items",Public contact not identified on source page,Dyrektor Zakupów / Kierownik Zakupów / Menedżer Kategorii,Website contact form,"Long-established importer and distributor active in Polish HoReCa with over 5,000 products from world cuisines.",HoReCa supply / distribution partnership,Harvics can introduce halal ethnic FMCG and frozen lines suited to modern HoReCa and world-food menus.,Verified direct website; decision-maker titles inferred from company structure.,https://www.kuchnieswiata.com.pl/en,https://www.kuchnieswiata.com.pl/en,,,,,False,True,False,1,0,1,skip,"Dystrybutor, importer artykułów i produktów spożywczych, hurtownia, zaopatrzenie gastronomii - Kuchnie Świata S.A.",,2014-2020,"Our advantage lies in direct contacts with global manufacturers of branded products and food items on all continents. It is precisely because of this that we can bring the highest quality exotic goods to the market, at the most competitive prices.",,,partial
Central Europe,Poland,High,EU Halal Poultry Poland,https://euhalal.info/,Poland,Manufacturer / Distributor / Wholesale,"Halal poultry for retail, wholesale, catering and fast food",Public contact team,Dyrektor Handlowy / Menedżer Importu / Procurement Manager,+48 787 110 366 | info@euhalal.info,"Halal-specialist producer/distributor serving retail, wholesale, catering and fast-food sectors across Europe, including Scandinavia and Germany.",Distribution partnership / institutional supply,Harvics can discuss complementary halal FMCG lines and regional trade collaboration.,Strong halal fit and direct contact details; excellent adjacency for halal category expansion.,https://euhalal.info/,https://euhalal.info/,,,,,False,True,False,1,0,1,skip,EU Halal Poultry Poland,EU Halal specialises in the production of stun free halal poultry to both the traditional and mainstream European and International markets.,+48 787 110 366,"EU Halal specialises in the production of 100% stun free (and stun halal poultry according to our customers preferences) to both the traditional and mainstream European and International markets. With over 20 years of customer focused experience the company stands today in Poland as a halal producer. Distributing both nationally and all over Europe (France, Belgium, Scandinavia, Germany and more) , we provide halal products to the retail, wholesale, catering and fast food industries. We are recognised in Europe and are working towards building a network of reliable distributors in order to make genuine halal products easily available for the Muslim consumers. If you would like to join our distribution team then please  contact us . Located in Poland the family owned business operates from a modern independent plant, fully committed to providing 100% halal poultry products. For greater transparency and tranquillity of the client, EU Halal only works with independent and serious certification bodies.",https://www.linkedin.com/company/eu-halal,,partial
Central Europe,Poland,High,LIMPOL,https://limpol.pl/en/,Poland,Importer / Distributor / Private label supplier,"Exotic FMCG, Mediterranean and global food products; HoReCa line",Public contact not identified on source page,Dyrektor Zakupów / Kierownik ds. Zaopatrzenia,Website contact form,Imports food from 33 countries and supplies both retail and HoReCa; operates private-label VERA and VERA Gastronomia lines.,Private label / distribution partnership,Harvics can position ethnic/halal lines for retail or gastronomy under distribution or private-label programs.,Verified direct site with strong import breadth; buyer not publicly named.,https://limpol.pl/en/,https://limpol.pl/en/,,,,,False,True,False,1,0,1,skip,Limpol - Distributor of food products | Import Export,"We have been distributing food products in Poland and internationally for over 22 years. We supply vegetables, fruits, oils, pasta and more to retail and catering. We are the owner of the Vera brand.",,"Limpol is the owner of the VERA brand Distributor of food products   The company's main activity is the import, export and trade of foodstuffs. We address our proposals not only to retail customers but also to the HoReCa sector.  We are the owner of the Vera brand. We carry out a range of comprehensive services on behalf of other companies, in terms of private labels.",https://www.linkedin.com/company/limpol/,,partial
Central Europe,Poland,Medium,World of Asia,https://worldofasia.pl/en/,Poland,Importer / Distributor,Food and non-food products for sushi restaurants,Public contact team,Kierownik Zakupów / Menedżer Kategorii,+48 534 264 264,Importer/distributor focused on sushi restaurants with controlled-temperature logistics.,Product placement / HoReCa supply,Potential fit for selected Asian-adjacent halal/ethnic lines and frozen or ambient products relevant to restaurant buyers.,Verified direct website; niche but commercially actionable.,https://worldofasia.pl/en/,https://worldofasia.pl/en/,,,,,False,True,False,1,0,1,skip,World of Asia - We implement only proven and high quality goods,World of Asia is an importer and distributor of food and non-food products for SUSHI restaurants,+48 534 264 264,"I agree to the processing of my personal data in order to receive a response in connection with sending a question via the contact form. The data administrator is WORLD OF ASIA SP Z O O. I have been informed that I have the right to access the content of the data, the right to correct it, delete it and the right to lodge a complaint with the supervisory body (the President of the Office for Personal Data Protection). Providing data is voluntary, but necessary to obtain a response. Detailed information on the company's privacy policy can be found at: https:worldofasia.pl/polityka-prywatnosci",,,partial
Central Europe,Poland,Medium,NOBI,https://nobi.com.pl/en/about-us,Poland,Importer / Distributor,Asian food products and kitchenware for home and professional kitchen,Public contact not identified on source page,Kupiec / Menedżer Kategorii / Import Manager,Website contact form,Imports and markets Asian food products for both home cooking and professional kitchens.,Distribution partnership / retail expansion,Harvics can propose ethnic staple lines and selected ready-to-cook products for retail and foodservice.,Verified direct website; buyer name not public.,https://nobi.com.pl/en/about-us,https://nobi.com.pl/en/about-us,,,,,False,True,False,1,0,1,skip,About us – NOBI,,504 346 458,,,,partial
Eastern Europe,Romania,High,Macromex,https://www.macromex.com/en,Bucharest,Importer / Distributor / Retail & HoReCa supplier,Frozen and chilled products,Not publicly identified in official snippet,Director Achiziții / Manager Achiziții / Director Comercial,Website contact form,Romanian leader in frozen and chilled products active in both Retail and HoReCa; strong scale and route-to-market.,Distribution partnership / HoReCa supply,Harvics can explore halal frozen and ethnic FMCG supply aligned with retail and Horeca channels.,Verified official company website; large-scale buyer target.,https://www.macromex.com/en,https://www.macromex.com/en/our-company/who-we-are,,,,,False,True,False,1,0,1,skip,MACROMEX - Home,,,,https://www.linkedin.com/company/macromex/,,partial
Eastern Europe,Romania,High,Mirasia Food S.R.L.,https://www.mirasia.ro/,Romania,Importer / Distributor / Wholesale,Korean and Asian retail and wholesale food,Public contact not identified on source page,Manager Achiziții / Director Comercial,Website contact form,"Leader in import, trade and distribution of Korean and Asian food in Romania; clear ethnic-food fit.",Distribution partnership / product placement,Harvics can offer selected ethnic and halal FMCG lines complementary to Asian/world-food assortments.,Verified direct website; strong ethnic-food relevance.,https://www.mirasia.ro/,https://www.mirasia.ro/,,,,,False,True,False,1,0,1,skip,Asian Food | MIRASIA FOOD | Romania,"Mirasia Food S.R.L is a leader in the import, trade, and distribution of retail and wholesale food from Korea in Romania. Koreanfood, Asianfood, Sushiromania",41544360,"Albert Schweitzer HOME ROLLING SUSHI GURI GURI POCHA PRODUCTS CONTACT MIRASIA FOOD S.R.L 41544360 Strada Câmpul Pipera, Nr.125/9, Office 32 Voluntari, Ilfov, Romania ©2023  Copyright  MIRASIA FOOD S.R.L.  TERMS AND CONDITIONS PRIVACY Cookie Policy ANPC bottom of page",,,partial
