Company,Country,City,HQ Address,Phone,General Email,Website,Likely Decision Titles,Status,Date Contacted,Follow-up Date,Notes,Email Check,Email,Title,Fair,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
Gloria Jeans,Russia,Rostov-on-Don,"Rostov-on-Don, Russia",+7 863 210 11 11,info@gloria-jeans.ru,gloria-jeans.ru,Head of Sourcing,,,,,,,,,False,True,False,1,0,1,skip,,,,,,,partial
O'STIN,Russia,Moscow,"Moscow, Russia",+7 495 777 49 99,info@o-stin.com,o-stin.com,Category Buyer Denim,,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Zolla,Russia,Moscow,"Moscow, Russia",+7 495 660 58 00,info@zolla.com,zolla.com,Production Director,,,,,,,,,False,True,False,1,0,1,skip,Магазин женской и мужской одежды и аксессуаров - Официальный интернет-магазин ZOLLA,Женская и мужская коллекция одежды ZOLLA. Доступные цены и отличное качество! Примерка перед покупкой.,2004-2026,,,"интернет-магазин женской одежды, сайт женской одежды, магазин, официальный, дешево, модный, доступный",partial
Melon Fashion Group,Russia,St. Petersburg,"St. Petersburg, Russia",+7 812 332 00 00,info@mfg.ru,mfg.ru,Procurement Director,,,,,,,,,False,True,False,1,0,1,skip,Домен mfg.ru: купить в магазине доменных имен Рег.ру,"Домен mfg.ru продаётся. Цена: 500 000,00 р. Категории: Разное&nbsp;- Бренды; Разное&nbsp;- Разное (другое); Автоматические категории&nbsp;- 3-х символьные. Вся информация о домене в магазине доменов Рег.ру.",500 000,,,,partial
Befree,Russia,St. Petersburg,"St. Petersburg, Russia",+7 812 332 00 00,via mfg.ru,befree.ru,Buying Manager,,,,,,,,,False,True,False,1,0,1,skip,"Befree – официальный сайт интернет-магазина одежды, обуви и аксессуаров","Российский бренд одежды для женщин и мужчин. Создает коллекции одежды, обуви и аксессуаров.  Бесплатная доставка по всей России при оплате онлайн!",,,,,partial
Sela,Russia,Moscow,"Moscow, Russia",+7 495 988 30 88,info@sela.ru,sela.ru,Import Manager,,,,,,,,,False,True,False,1,0,1,skip,"SELA – интернет-магазин одежды для женщин, мужчин, новорожденных и детей от российского производителя",,,,,,partial
Finn Flare,Russia,Moscow,"Moscow, Russia",+7 495 980 97 97,info@finn-flare.ru,finn-flare.ru,Sourcing Director,,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Familia,Russia,Moscow,"Moscow, Russia",+7 495 660 13 60,info@familia.ru,familia.ru,Commercial Director,,,,,,,,,False,True,False,1,0,1,skip,,,,,,,partial
Zarina,Russia,St. Petersburg,"St. Petersburg, Russia",+7 812 332 00 00,via mfg.ru,zarina.ru,Product Director,,,,,,,,,False,True,False,1,0,1,skip,,,,,,,partial
Love Republic,Russia,St. Petersburg,"St. Petersburg, Russia",+7 812 332 00 00,via mfg.ru,loverepublic.ru,Head of Buying,,,,,,,,,False,True,False,1,0,1,skip,Магазин женской одежды LOVE REPUBLIC – официальный интернет-магазин,"Стильная женская одежда по лучшим ценам: более 100 новинок каждую неделю! Легкий шопинг, бесплатная доставка по Москве, Санкт-Петербургу и другим городам России, примерка, возможность частичного возврата",,,,"магазин женской одежды, интернет магазин женской одежды, магазин где много платьев, красивые платья новая коллекция",partial
